step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,116.75454711914062,0.041303232426885585,0.2272792148590088,1.0,0,0,0,20,117,216,hard,0.10861423220973783,0.06115107913669065,0.0,0.0
2,4.0,85.25370025634766,0.05002565418163161,0.3190030026435852,1.0,0,0,0,20,84,216,hard,0.12841091492776885,0.07708119218910586,0.0,0.0
3,6.0,84.48196411132812,0.05938943047716778,0.4201305651664734,1.0,0,0,0,20,88,216,hard,0.1508828250401284,0.09301130524152107,0.0,0.0
4,8.0,154.056884765625,0.07696254489481785,0.5422034621238708,1.0,0,0,0,20,151,216,hard,0.1963616907437132,0.1197327852004111,0.0,0.0
5,10.0,89.67341613769531,0.086198050282196,0.6329014945030212,1.0,0,0,0,20,90,216,hard,0.21829855537720708,0.13566289825282632,0.0,0.0
6,12.0,-0.19217205047607422,0.086198050282196,0.7050886368751526,1.0,0,0,0,20,0,216,hard,0.21829855537720708,0.13566289825282632,0.0,0.0
7,14.0,34.78523635864258,0.0896613648024628,0.7882061457633972,1.0,0,0,0,20,37,216,hard,0.22899946495452114,0.13926002055498457,0.0,0.0
8,16.0,36.5026741027832,0.0918419702411493,0.9134112334251403,1.0,0,0,0,20,32,216,hard,0.23434991974317818,0.14285714285714285,0.0,0.0
9,18.0,-1.382682204246521,0.0918419702411493,0.9134112334251403,1.0,0,0,0,20,0,216,hard,0.23434991974317818,0.14285714285714285,0.0,0.0
10,20.0,-1.382682204246521,0.0918419702411493,0.9134112334251403,1.0,0,0,0,20,0,216,hard,0.23434991974317818,0.14285714285714285,0.0,0.0
11,22.0,6.27092981338501,0.09299640841457157,0.9771981692314147,1.0,0,0,0,20,9,216,hard,0.2370251471375067,0.144912641315519,0.0,0.0
12,24.0,0.5792860984802246,0.09312467932272961,1.1035694527626037,1.0,0,0,0,20,1,216,hard,0.2375601926163724,0.144912641315519,0.0,0.0
13,26.0,16.553831100463867,0.09466393022062596,1.2308486676216124,1.0,0,0,0,20,17,216,hard,0.24077046548956663,0.14799588900308325,0.0,0.0
14,28.0,62.376251220703125,0.10236018471010774,1.358127882480621,1.0,0,0,0,20,65,216,hard,0.26163723916532905,0.15878725590955806,0.0,0.0
15,30.0,83.63831329345703,0.11172396100564393,1.4487972331047057,1.0,0,0,0,20,83,216,hard,0.2867843766720171,0.1721479958890031,0.0,0.0
16,32.0,102.43387603759766,0.12314007183170857,1.5760764479637144,1.0,0,0,0,20,104,216,hard,0.30925628678437667,0.1963001027749229,0.0,0.0
17,34.0,63.61527633666992,0.12993842996408414,1.6235042726993558,1.0,0,0,0,20,64,216,hard,0.3279828785446763,0.20554984583761562,0.0,0.0
18,36.0,82.84598541259766,0.1387891226269882,1.7147702467441557,1.0,0,0,0,20,78,216,hard,0.3536650615302301,0.21634121274409043,0.0,0.0
19,38.0,-1.5429540872573853,0.1387891226269882,1.7147702467441557,1.0,0,0,0,20,0,216,hard,0.3536650615302301,0.21634121274409043,0.0,0.0
20,40.0,4.4315900802612305,0.13943047716777834,1.8420494616031644,1.0,0,0,0,20,5,216,hard,0.35580524344569286,0.21685508735868447,0.0,0.0
21,42.0,140.39468383789062,0.15315546434068752,2.02654545545578,2.0,1,0,1,20,119,216,hard,0.35580524344569286,0.2276464542651593,0.043721403152008134,0.0
22,44.0,78.81134033203125,0.1616213442791175,2.129861507415771,2.0,1,0,1,20,77,216,hard,0.35580524344569286,0.24357656731757452,0.061514997458057954,0.0
23,46.0,50.13698196411133,0.16765007696254489,2.25714072227478,2.0,1,0,1,20,51,216,hard,0.35580524344569286,0.2589928057553957,0.07015760040671072,0.0
