step,timestamp,reward,coverage,cov_trace,altitude,alt_idx,loop_closures,altitude_changes,frontier_count,new_cells,map_seed,difficulty,cov_alt0,cov_alt1,cov_alt2,cov_alt3
1,2.0,95.75821685791016,0.05361964767905362,0.20890580415725707,1.0,0,0,0,20,96,235,hard,0.14178302900107412,0.07878475798146241,0.0,0.0
2,4.0,-1.2417811155319214,0.05361964767905362,0.20890580415725707,1.0,0,0,0,20,0,235,hard,0.14178302900107412,0.07878475798146241,0.0,0.0
3,6.0,-1.2417811155319214,0.05361964767905362,0.20890580415725707,1.0,0,0,0,20,0,235,hard,0.14178302900107412,0.07878475798146241,0.0,0.0
4,8.0,-1.2417811155319214,0.05361964767905362,0.20890580415725707,1.0,0,0,0,20,0,235,hard,0.14178302900107412,0.07878475798146241,0.0,0.0
5,10.0,59.68304443359375,0.05979169345505979,0.33618501901626585,1.0,0,0,0,20,59,235,hard,0.1552094522019334,0.09062821833161688,0.0,0.0
6,12.0,62.71192932128906,0.06712099781406712,0.4403605365753174,1.0,0,0,0,20,63,235,hard,0.17561761546723953,0.1004119464469619,0.0,0.0
7,14.0,101.01927947998047,0.07869358364407869,0.5676397514343261,1.0,0,0,0,20,102,235,hard,0.20139634801288936,0.12203913491246138,0.0,0.0
8,16.0,97.58973693847656,0.09000900090009001,0.6949189662933348,1.0,0,0,0,20,95,235,hard,0.23308270676691728,0.13697219361483007,0.0,0.0
9,18.0,-1.3389837741851807,0.09000900090009001,0.6949189662933348,1.0,0,0,0,20,0,235,hard,0.23308270676691728,0.13697219361483007,0.0,0.0
10,20.0,121.26944732666016,0.1038961038961039,0.8221981811523436,1.0,0,0,0,20,118,235,hard,0.2540279269602578,0.1725025746652935,0.0,0.0
11,22.0,100.7833480834961,0.11495435257811495,0.9494773960113523,1.0,0,0,0,20,98,235,hard,0.27013963480128894,0.20133882595262617,0.0,0.0
12,24.0,-1.3898954391479492,0.11495435257811495,0.9494773960113523,1.0,0,0,0,20,0,235,hard,0.27013963480128894,0.20133882595262617,0.0,0.0
13,26.0,66.59166717529297,0.1218979040761219,1.0416482901573179,1.0,0,0,0,20,67,235,hard,0.2798066595059076,0.21987641606591143,0.0,0.0
14,28.0,52.571929931640625,0.1274270284171274,1.140354182720184,1.0,0,0,0,20,53,235,hard,0.28678839957035446,0.2353244078269825,0.0,0.0
15,30.0,106.48406219482422,0.13964253568213963,1.2317145991325376,1.0,0,0,0,20,108,235,hard,0.317937701396348,0.25437693099897013,0.0,0.0
16,32.0,135.06170654296875,0.1534010543911534,1.3308905005455014,1.0,0,0,0,20,130,235,hard,0.35499462943071963,0.27394438722966014,0.0,0.0
17,34.0,-1.466178059577942,0.1534010543911534,1.3308905005455014,1.0,0,0,0,20,0,235,hard,0.35499462943071963,0.27394438722966014,0.0,0.0
18,36.0,94.50928497314453,0.16445930307316445,1.4535797619819637,1.0,0,0,0,20,95,235,hard,0.38506981740064444,0.2893923789907312,0.0,0.0
19,38.0,27.10694122314453,0.16793107882216793,1.5805444216728206,1.0,0,0,0,20,28,235,hard,0.3979591836734694,0.2909371781668383,0.0,0.0
20,40.0,99.4652328491211,0.17333161887617332,1.6750028109550472,1.0,0,0,0,20,42,235,hard,0.41407089151450055,0.29711637487126674,0.0,0.0
21,42.0,133.42413330078125,0.18747589044618748,1.8793536067008967,2.0,1,0,1,20,112,235,hard,0.41407089151450055,0.3135942327497425,0.0395738203957382,0.0
22,44.0,61.4061279296875,0.19429085765719428,1.9693536067008968,2.0,1,0,1,20,58,235,hard,0.41407089151450055,0.32801235839340886,0.052257737189244036,0.0
23,46.0,107.38067626953125,0.20496335347820496,2.0966328215599055,2.0,1,0,1,20,108,235,hard,0.416219119226638,0.3434603501544799,0.07711821410451547,0.0
24,48.0,111.36231231689453,0.21717886074321718,2.1884438562393185,2.0,1,0,1,20,112,235,hard,0.4242749731471536,0.368692070030896,0.0928462709284627,0.0
25,50.0,-2.1635866165161133,0.21717886074321718,2.2784885454177854,2.0,1,0,1,20,0,235,hard,0.4242749731471536,0.368692070030896,0.0928462709284627,0.0
26,52.0,-1.6556977033615112,0.21717886074321718,2.2784885454177854,2.0,1,0,1,20,0,235,hard,0.4242749731471536,0.368692070030896,0.0928462709284627,0.0
27,54.0,-1.6556977033615112,0.21717886074321718,2.2784885454177854,2.0,1,0,1,20,0,235,hard,0.4242749731471536,0.368692070030896,0.0928462709284627,0.0
28,56.0,51.880619049072266,0.22245081651022244,2.377077815532684,2.0,1,0,1,20,52,235,hard,0.42749731471535984,0.3805355303810505,0.0989345509893455,0.0
29,58.0,183.69485473632812,0.23685225665423684,2.504357030391693,2.0,1,0,1,20,120,235,hard,0.4430719656283566,0.40216271884654997,0.11973617453069507,0.0
30,60.0,-4.372461795806885,0.23685225665423684,2.631636245250702,2.0,1,0,1,20,0,235,hard,0.4430719656283566,0.40216271884654997,0.11973617453069507,0.0
31,62.0,40.25301742553711,0.24135270669924136,2.7349167561531065,2.0,1,0,1,20,41,235,hard,0.44790547798066593,0.41091658084449023,0.12430238457635717,0.0
