step,timestamp,coverage,known_cells,total_cells,cov_trace,pos_x,pos_y,altitude,frontier_count,nearest_frontier_dist,loop_closures,tracking_lost_events,new_cells,note
61,1776030251.9255533,0.2671,3093,11580,0.136655,0.406,0.672,1.26,15,0.968,4,0,1,
62,1776030253.9365115,0.2671,3093,11580,0.136655,0.408,0.722,1.283,15,1.012,4,0,0,
63,1776030255.9445496,0.2679,3102,11580,0.147235,0.22,0.6,1.254,15,1.003,4,0,9,
64,1776030257.9525514,0.2676,3099,11580,0.141548,0.252,0.567,1.26,14,0.957,4,0,0,
65,1776030259.9609423,0.2676,3099,11580,0.141353,0.182,0.445,1.285,14,0.911,4,0,0,
66,1776030261.971838,0.2679,3102,11580,0.136995,0.012,0.235,1.292,17,0.922,4,0,3,
67,1776030263.9844172,0.2674,3097,11580,0.122915,0.009,0.183,1.286,16,0.901,5,0,0,
68,1776030265.9964426,0.2678,3101,11580,0.121823,0.16,0.299,1.298,16,0.831,5,0,4,
69,1776030268.0081315,0.2677,3100,11580,0.12501,0.063,0.358,1.288,16,0.944,6,0,0,
70,1776030270.0283387,0.2678,3101,11580,0.127396,-0.078,0.499,1.308,16,1.142,6,0,1,
71,1776030272.0443428,0.2679,3102,11580,0.129547,0.066,0.477,1.348,16,1.017,6,0,1,
72,1776030274.0553246,0.2679,3102,11580,0.133575,0.056,0.464,1.278,16,1.016,6,0,0,
73,1776030276.0626073,0.2679,3102,11580,0.133575,0.025,0.539,1.285,16,1.089,7,0,0,
74,1776030278.0703638,0.2679,3102,11580,0.13797,0.233,0.436,1.276,16,0.869,8,0,0,
75,1776030280.0796468,0.2669,3107,11640,0.137188,0.317,0.35,1.29,19,1.588,9,0,5,
76,1776030282.091049,0.2645,3079,11640,0.140457,0.357,0.602,1.295,24,0.901,9,0,0,
77,1776030284.0997329,0.265,3085,11640,0.152131,0.212,0.675,1.302,22,1.037,9,0,6,
78,1776030286.11384,0.2649,3083,11640,0.141399,0.024,0.473,1.333,22,1.009,9,0,0,
79,1776030288.1264057,0.2637,3069,11640,0.132333,0.009,0.367,1.301,24,0.954,9,0,0,
80,1776030290.138966,0.2639,3072,11640,0.123898,0.087,0.421,1.247,22,0.928,10,0,3,
81,1776030292.1516328,0.2639,3072,11640,0.130089,-0.102,0.448,1.285,22,1.092,10,0,0,
82,1776030294.1690686,0.2643,3076,11640,0.116577,-0.181,0.261,1.219,25,1.066,11,0,4,
83,1776030296.1754313,0.2643,3076,11640,0.116577,0.027,0.375,1.236,25,0.945,11,0,0,
84,1776030298.184623,0.2643,3076,11640,0.122046,-0.045,0.593,1.215,25,1.141,11,0,0,
85,1776030300.192799,0.2654,3089,11640,0.129237,0.053,0.444,1.227,22,0.969,12,0,13,
86,1776030302.200207,0.2655,3090,11640,0.120319,0.19,0.176,1.224,24,0.698,13,0,1,
87,1776030304.2133515,0.2655,3090,11640,0.11641,0.23,-0.038,1.234,24,0.575,13,0,0,
88,1776030306.2231789,0.2799,3258,11640,0.114351,0.185,-0.237,1.272,24,0.6,14,0,168,
89,1776030308.233002,0.2897,3372,11640,0.118442,0.342,-0.324,1.219,22,0.461,14,0,114,
90,1776030310.241635,0.2905,3381,11640,0.116369,0.371,-0.289,1.174,22,0.424,14,0,9,
91,1776030312.2487438,0.2905,3416,11760,0.117056,0.101,-0.025,1.191,21,0.702,14,0,35,
92,1776030314.2606218,0.2933,3449,11760,0.105034,0.122,0.054,1.218,21,0.711,15,0,33,
93,1776030316.2720282,0.2962,3483,11760,0.107394,0.233,0.253,1.172,17,0.704,16,0,34,
94,1776030318.2812693,0.2962,3483,11760,0.111859,0.263,0.328,1.181,17,0.732,16,0,0,
95,1776030320.2889178,0.2926,3441,11760,0.110788,0.275,0.459,1.14,20,0.842,17,0,0,
96,1776030322.2989633,0.2924,3439,11760,0.115846,0.14,0.628,1.131,20,1.059,18,0,0,
97,1776030324.3067367,0.2923,3437,11760,0.117356,-0.116,0.454,1.152,20,1.125,19,0,0,
98,1776030326.31768,0.2923,3437,11760,0.109276,-0.208,0.341,1.123,20,1.086,20,0,0,
99,1776030328.3249488,0.2923,3437,11760,0.105076,-0.101,0.45,1.07,20,1.112,20,0,0,
100,1776030330.3332057,0.2927,3442,11760,0.10821,-0.075,0.423,1.043,19,1.074,20,0,5,
101,1776030332.3447213,0.2927,3442,11760,0.108306,-0.137,0.605,1.049,19,1.236,21,0,0,
102,1776030334.3550167,0.2901,3411,11760,0.111627,-0.083,0.827,1.079,20,1.28,21,0,0,
103,1776030336.3652887,0.2901,3411,11760,0.124009,-0.172,0.765,1.07,20,1.3,21,0,0,
104,1776030338.372118,0.2915,3428,11760,0.127531,-0.339,0.697,1.031,18,1.174,22,0,17,
105,1776030340.3816283,0.2921,3435,11760,0.122295,-0.589,0.593,1.05,17,0.924,22,0,7,
106,1776030342.391967,0.2921,3435,11760,0.124105,-0.571,0.779,1.011,17,1.081,22,0,0,
107,1776030344.4020505,0.2922,3436,11760,0.125529,-0.635,0.674,1.011,17,0.958,22,0,1,
108,1776030346.4091978,0.2922,3436,11760,0.130843,-0.606,0.77,1.045,17,1.053,22,0,0,
109,1776030348.419699,0.2922,3436,11760,0.133694,-0.66,0.838,1.082,17,1.082,22,0,0,
110,1776030350.4273393,0.2922,3436,11760,0.136536,-0.821,0.803,1.074,17,0.98,22,0,0,
111,1776030352.4445848,0.2922,3436,11760,0.139527,-0.762,0.749,1.078,17,0.955,22,0,0,
112,1776030354.4521282,0.2922,3436,11760,0.141661,-0.613,0.908,1.097,17,1.166,22,0,0,
113,1776030356.4628417,0.2923,3437,11760,0.132713,-0.532,0.724,1.105,18,1.06,22,0,1,
114,1776030358.4698973,0.2923,3437,11760,0.116801,-0.699,0.553,1.104,18,0.823,23,0,0,
115,1776030360.478935,0.2927,3442,11760,0.113072,-0.702,0.669,1.125,18,0.916,23,0,5,
116,1776030362.4860039,0.2927,3442,11760,0.116636,-0.67,0.603,1.14,18,0.881,24,0,0,
117,1776030364.4936683,0.2927,3442,11760,0.116636,-0.834,0.531,1.114,18,0.73,24,0,0,
118,1776030366.5047247,0.2945,3463,11760,0.118876,-0.993,0.602,1.119,18,0.731,24,0,21,
119,1776030368.5142312,0.2949,3468,11760,0.122697,-1.028,0.599,1.177,18,0.72,24,0,5,
120,1776030370.5236797,0.2949,3468,11760,0.122697,-0.883,0.528,1.162,18,0.704,24,0,0,
121,1776030372.5302365,0.297,3493,11760,0.097715,-0.982,0.583,1.141,22,0.702,25,0,25,
122,1776030374.5389807,0.297,3493,11760,0.105162,-1.023,0.679,1.183,22,0.783,25,0,0,
123,1776030376.550756,0.297,3493,11760,0.105162,-0.935,0.611,1.206,22,0.743,25,0,0,
124,1776030378.558111,0.2976,3482,11700,0.099124,-0.754,0.763,1.204,15,0.971,25,0,0,
125,1776030380.5675013,0.2976,3482,11700,0.099124,-0.654,0.807,1.183,15,1.058,25,0,0,
126,1776030382.5762384,0.2976,3482,11700,0.104381,-0.563,0.781,1.207,15,1.087,25,0,0,
127,1776030384.5830078,0.2976,3482,11700,0.108659,-0.434,0.887,1.195,15,1.25,25,0,0,
128,1776030386.5897698,0.2976,3482,11700,0.108659,-0.391,0.773,1.188,15,1.19,25,0,0,
129,1776030388.5976205,0.2935,3434,11700,0.103019,-0.438,0.7,1.205,18,1.09,25,0,0,
130,1776030390.6042714,0.2914,3409,11700,0.09827,-0.451,0.72,1.225,16,1.096,25,0,0,
131,1776030392.613323,0.2914,3409,11700,0.09827,-0.58,0.647,1.236,16,0.956,25,0,0,
